PMID	Year	Title	MeshTerm
24996738	2014	Reply: To PMID 23998413.	Anesthesia, Epidural,Autonomic Nerve Block,Carcinoma, Non-Small-Cell Lung,Female,Humans,Lung Neoplasms,Lymphoma, B-Cell, Marginal Zone,Male,Mastectomy, Segmental,Thoracoscopy
24996739	2014	Reply: To PMID 24055234.	Esophageal Neoplasms,Esophagectomy,Humans
24735793	2014	Reply: To PMID 24022090.	Clinical Medicine,Colonoscopy,Colorectal Neoplasms,Early Detection of Cancer,Female,Humans,Male,Severity of Illness Index
25677789	2015	Reply: To PMID 24798001.	Biomarkers, Tumor,Carcinoma, Hepatocellular,Female,Fibroblast Growth Factors,Humans,Liver Neoplasms,Male,Retinoblastoma Protein
24958484	2014	Reply: To PMID 24958478.	Humans,Male,Prostate,Prostatic Neoplasms,Tumor Burden
24962843	2014	Reply: To PMID 24962843.	Female,Humans,Imaging, Three-Dimensional,Kidney Neoplasms,Male,Models, Anatomic,Printing
24962848	2014	Reply: To PMID 24962844.	Humans,Male,Prostatectomy,Prostatic Neoplasms
24973683	2014	Reply: To PMID 24361468.	Antibodies, Monoclonal, Humanized,Crohn Disease,Female,Gastrointestinal Agents,Humans,Immunologic Factors,Male,Neoplasms
24979529	2014	Reply: To PMID 24389306.	Female,Humans,Male,Neoplasms,Pancreatitis, Alcoholic,Pancreatitis, Chronic
25698288	2015	Author's reply: To PMID 25003687.	Carcinoma, Signet Ring Cell,Female,Humans,Stomach Neoplasms
25858125	2015	Reply: To PMID 25103986.	Breast Neoplasms,Early Detection of Cancer,Female,Humans,Mammography
25980521	2015	Reply: To PMID 25371111.	Arteries,Carcinoma, Hepatocellular,Chemoembolization, Therapeutic,Female,Humans,Liver Neoplasms,Liver Transplantation,Male
25872693	2015	Reply: To PMID 25872693.	Circumcision, Male,Foreskin,Humans,Male,Penile Neoplasms
25709047	2015	Reply: To PMID 25709045.	Humans,Male,Neoplasm Grading,Prostate,Prostatic Neoplasms,Watchful Waiting
23345373	2013	Reply: To PMID 22623561.	Antimetabolites, Antineoplastic,Deoxycytidine,Embolization, Therapeutic,Female,Fluorouracil,Humans,Male,Pancreatic Neoplasms
23345388	2013	Reply: To PMID 22623538.	Carcinoma, Renal Cell,Diagnostic Imaging,Humans,Kidney Neoplasms,Neoplasm Recurrence, Local,Neoplasm, Residual
23345389	2013	Reply: To PMID 22733900.	Diffusion Magnetic Resonance Imaging,Humans,Male,Prostate,Prostatic Neoplasms
23462511	2013	Reply: To PMID 22959762.	Female,Humans,Polycystic Ovary Syndrome,Venous Thromboembolism
